"labY","C","A","V","t","Indiv"
1.2212195614865398,1.1609010236646635,0.0,-58.80141148906968,1,1
0.9597245142742924,1.0877689878063952,0.0,-59.22986589906127,1,2
1.0326491596798328,0.9838745470622474,0.06092172320009506,-58.57818956205247,2,1
1.1047711948003403,1.0705196738752756,-0.12932491826742382,-58.74108832801618,2,2
1.4661730297815214,0.9639805297935558,0.11079329917585734,-57.110588635813954,3,1
0.8736361341462473,1.0732332790309478,-0.09602413131578291,-58.64587886208759,3,2
0.9520018687214489,0.9339611807322185,0.6191156571554612,-57.12726550485314,4,1
0.9318052136447196,0.919064376755674,-0.29857748896248826,-57.8788182762173,4,2
1.0311913548881915,1.0583745201881019,0.6435279085961386,-56.61254998434143,5,1
1.691754890160251,1.323727065638169,-0.2886950185941771,-56.46981464270978,5,2
0.9680448034671798,1.1731258185701423,0.6225081907291904,-56.17142548921158,6,1
1.3128164484962976,1.2352941760396614,0.08012613398718398,-56.143319398488366,6,2
1.1572220156244455,1.0152239855441,0.42160144738249034,-55.268886422176735,7,1
1.0206514424773367,1.0364311622792095,0.15922489050825833,-55.87731875723592,7,2
0.9892252075811098,0.9915201150566384,0.5692354722374641,-54.96013737942246,8,1
1.3258858729534213,1.1640938024264198,0.14487962241344932,-54.90179295136273,8,2
0.8067310435354272,0.9895103090626475,0.5726099704095547,-54.782757671648724,9,1
2.0228160293861763,1.3210427504649043,0.30973840986985557,-53.625836047661,9,2
0.5794165041026377,1.1031028382818013,0.39372901193115784,-54.941180618765976,10,1
1.2791399792631306,1.1844416107891906,1.021626805679039,-53.03083863125557,10,2
0.6526428203805735,1.0216029755329046,-0.1312568954704858,-54.70800908416257,11,1
1.3320258391390678,1.361647630116656,1.1274884258945086,-52.380193847813686,11,2
0.6962816984046607,1.0206858102840908,-0.505219221129045,-54.420730502123085,12,1
1.0157078189384696,1.179464090655451,1.1088453012660895,-52.13544413795067,12,2
0.7628532942519635,1.0030091704482376,-0.8379195663385599,-53.60065464219075,13,1
0.8016840478859897,0.9948985199210574,0.9545399198445988,-51.954827896049125,13,2
0.5804003494932499,0.9562061310154721,-1.0888561969601824,-53.78789488929965,14,1
0.7149014857183501,0.861662963349087,0.7689387022876264,-51.434448716510474,14,2
0.4757856378385972,0.7722343540001044,-1.4793085982672287,-53.51680906593488,15,1
1.1105574583709195,1.1444897976423491,0.6283989969034584,-50.475202086918124,15,2
0.4405017326930183,0.7784137275168903,-1.7935148875730234,-53.2751475932962,16,1
0.9481776289242918,1.0534300266883214,0.6004113242083488,-49.85702588494854,16,2
0.3866363564519893,0.6722151718423566,-2.1527411512208645,-53.0264086015529,17,1
1.1122332527541716,1.067651623090455,0.5001105157087622,-48.781028309979035,17,2
0.4195917742961627,0.6756085656438087,-2.462703166277344,-52.77373978797363,18,1
1.351219408256974,1.2109473906434454,0.5501390668262037,-47.9746517396638,18,2
0.5795317930845407,0.8263826822555731,-2.74590715720124,-52.5359358757933,19,1
